age,gender,state,occupation,income,education,category,disability_status,bpl_status,employment_status,family_size,scheme_1,scheme_2,scheme_3,scheme_4,scheme_5,scheme_6,scheme_7,scheme_8,scheme_9,scheme_10,scheme_11,scheme_12
24,Male,Punjab,Farmer,331969.0,10th Pass,ST,Yes,No,Farmer,4,0,0,0,0,1,1,0,0,0,0,1,0
79,Other,Maharashtra,Private Job,271931.0,Graduate,SC,No,No,Employed,4,0,0,0,0,0,0,0,0,0,0,1,0
45,Male,Karnataka,Unemployed,17154.0,12th Pass,ST,No,Yes,Unemployed,2,0,0,1,0,1,0,0,0,0,1,1,0
6,Female,West Bengal,Private Job,309675.0,Below 10th,OBC,No,No,Employed,3,0,1,0,0,0,0,0,0,0,0,0,0
49,Male,Gujarat,Business Owner,697661.0,10th Pass,ST,No,No,Employed,1,0,0,0,0,1,0,1,0,0,0,1,0
8,Female,Delhi,Student,69328.0,Below 10th,OBC,No,No,Student,4,0,1,0,0,0,0,0,0,0,0,0,0
48,Male,Karnataka,Private Job,1124525.0,12th Pass,General,Yes,No,Employed,7,0,0,0,0,1,0,0,0,0,0,1,0
40,Male,Maharashtra,Business Owner,374348.0,12th Pass,OBC,No,No,Employed,7,0,0,0,0,1,1,1,0,0,0,1,0
54,Male,Delhi,Farmer,98147.0,Below 10th,SC,Yes,Yes,Farmer,1,1,0,1,0,1,0,0,0,0,1,1,0
44,Female,Maharashtra,Business Owner,540562.0,10th Pass,General,No,No,Employed,7,0,0,0,0,1,0,1,1,0,0,1,0
10,Other,Punjab,Student,42598.0,Graduate,General,Yes,Yes,Student,6,0,0,0,0,0,0,0,0,0,0,1,0
57,Other,Gujarat,Business Owner,433862.0,Below 10th,ST,Yes,No,Employed,8,0,0,0,0,1,0,1,0,0,0,1,0
33,Male,Bihar,Business Owner,740031.0,10th Pass,OBC,Yes,No,Employed,4,0,0,0,0,1,1,1,0,0,0,1,0
84,Female,Karnataka,Retired,56396.0,12th Pass,SC,No,Yes,Retired,6,0,0,1,0,0,0,0,0,1,1,1,0
6,Male,Karnataka,Student,69590.0,Below 10th,ST,No,Yes,Student,6,0,0,0,0,0,0,0,0,0,0,0,0
56,Other,Rajasthan,Farmer,221953.0,10th Pass,SC,Yes,No,Farmer,7,1,0,0,0,1,0,0,0,0,0,1,0
5,Other,Rajasthan,Government Job,513212.0,12th Pass,ST,Yes,No,Employed,6,0,0,0,0,0,0,0,0,0,0,0,0
84,Female,Delhi,Government Job,729821.0,Postgraduate,SC,No,No,Employed,6,0,0,0,0,0,0,0,0,0,0,1,0
56,Other,Karnataka,Private Job,366941.0,10th Pass,ST,No,No,Employed,3,0,0,0,0,1,0,0,0,0,0,1,0
83,Other,Karnataka,Unemployed,71819.0,Below 10th,SC,No,No,Unemployed,6,0,0,0,0,0,0,0,0,0,1,1,0
64,Female,Bihar,Government Job,548164.0,Postgraduate,ST,Yes,No,Employed,2,0,0,0,0,1,0,0,0,0,0,1,0
41,Other,West Bengal,Business Owner,295847.0,10th Pass,SC,Yes,No,Employed,4,0,0,0,0,1,0,1,0,0,0,1,0
24,Male,Maharashtra,Student,124554.0,Below 10th,ST,No,No,Student,4,0,0,0,1,1,1,0,0,0,1,1,0
25,Female,Uttar Pradesh,Student,38684.0,Below 10th,General,No,No,Student,8,0,0,0,1,1,1,0,0,0,1,1,0
74,Other,Gujarat,Retired,83626.0,10th Pass,ST,No,Yes,Retired,8,0,0,1,0,0,0,0,0,1,1,1,0
83,Other,Rajasthan,Unemployed,71810.0,Graduate,OBC,No,Yes,Unemployed,4,0,0,1,0,0,0,0,0,1,1,1,0
40,Other,Bihar,Government Job,601734.0,12th Pass,ST,Yes,No,Employed,5,0,0,0,0,1,1,0,0,0,0,1,0
35,Female,Tamil Nadu,Business Owner,1232781.0,Below 10th,OBC,Yes,No,Employed,4,0,0,0,0,1,1,1,1,0,0,1,0
54,Other,Punjab,Government Job,548691.0,Below 10th,ST,No,No,Employed,6,0,0,0,0,1,0,0,0,0,0,1,0
46,Female,Uttar Pradesh,Farmer,128440.0,Graduate,General,No,No,Farmer,8,1,0,0,0,1,0,0,0,0,1,1,0
73,Female,Karnataka,Retired,224465.0,Postgraduate,OBC,No,No,Retired,4,0,0,0,0,0,0,0,0,0,0,1,0
41,Female,Bihar,Farmer,223873.0,Graduate,OBC,No,No,Farmer,3,1,0,0,0,1,0,0,0,0,0,1,0
84,Other,Maharashtra,Unemployed,77580.0,Postgraduate,General,Yes,Yes,Unemployed,3,0,0,1,0,0,0,0,0,1,1,1,0
64,Male,Maharashtra,Business Owner,895038.0,12th Pass,OBC,No,No,Employed,6,0,0,0,0,1,0,1,0,0,0,1,0
68,Female,Karnataka,Retired,241021.0,Below 10th,ST,Yes,No,Retired,1,0,0,0,0,1,0,0,0,0,0,1,0
61,Male,Delhi,Retired,361707.0,Below 10th,OBC,Yes,No,Retired,1,0,0,0,0,1,0,0,0,0,0,1,0
8,Male,Gujarat,Student,124141.0,Postgraduate,OBC,No,No,Student,5,0,0,0,0,0,0,0,0,0,0,0,0
52,Male,West Bengal,Private Job,340192.0,10th Pass,SC,Yes,No,Employed,1,0,0,0,0,1,0,0,0,0,0,1,0
44,Other,Uttar Pradesh,Unemployed,93718.0,10th Pass,General,Yes,No,Unemployed,5,0,0,0,0,1,0,0,0,0,1,1,0
71,Male,West Bengal,Retired,41532.0,Postgraduate,ST,No,No,Retired,6,0,0,0,0,0,0,0,0,0,1,1,0
43,Female,Bihar,Farmer,247291.0,Graduate,OBC,No,No,Farmer,3,1,0,0,0,1,0,0,0,0,0,1,0
71,Other,Karnataka,Private Job,1228630.0,Graduate,ST,No,No,Employed,5,0,0,0,0,0,0,0,0,0,0,1,0
46,Male,Delhi,Business Owner,1045400.0,10th Pass,ST,No,No,Employed,6,0,0,0,0,1,0,1,0,0,0,1,0
11,Female,Tamil Nadu,Student,127808.0,12th Pass,SC,No,No,Student,5,0,0,0,0,0,0,0,0,0,0,1,0
81,Other,Karnataka,Private Job,121288.0,Postgraduate,OBC,Yes,No,Employed,4,0,0,0,0,0,0,0,0,0,1,1,0
82,Female,Rajasthan,Retired,145998.0,Graduate,ST,No,No,Retired,1,0,0,0,0,0,0,0,0,0,1,1,0
16,Female,Gujarat,Unemployed,90673.0,10th Pass,SC,No,Yes,Unemployed,6,0,0,0,0,0,0,0,0,0,0,1,0
59,Other,Rajasthan,Business Owner,837800.0,Graduate,SC,No,No,Employed,5,0,0,0,0,1,0,1,0,0,0,1,0
34,Male,Gujarat,Business Owner,350724.0,Postgraduate,OBC,Yes,No,Employed,4,0,0,0,0,1,1,1,0,0,0,1,0
79,Female,West Bengal,Retired,295060.0,12th Pass,General,Yes,No,Retired,5,0,0,0,0,0,0,0,0,0,0,1,0
34,Female,Punjab,Business Owner,129671.0,Postgraduate,OBC,No,No,Employed,1,0,0,0,0,1,1,1,1,0,1,1,0
11,Other,Karnataka,Government Job,364827.0,Graduate,General,Yes,No,Employed,5,0,0,0,0,0,0,0,0,0,0,1,0
65,Female,Bihar,Business Owner,486638.0,Below 10th,SC,No,No,Employed,2,0,0,0,0,1,0,1,1,0,0,1,0
60,Female,Bihar,Farmer,322525.0,Below 10th,OBC,Yes,No,Farmer,5,0,0,0,0,1,0,0,0,0,0,1,0
15,Male,Delhi,Private Job,972780.0,Postgraduate,OBC,No,No,Employed,8,0,0,0,0,0,0,0,0,0,0,1,0
61,Female,West Bengal,Unemployed,40026.0,Postgraduate,General,Yes,Yes,Unemployed,4,0,0,1,0,1,0,0,0,1,1,1,0
85,Male,Karnataka,Government Job,270262.0,10th Pass,OBC,Yes,No,Employed,2,0,0,0,0,0,0,0,0,0,0,1,0
25,Male,Uttar Pradesh,Unemployed,90357.0,Postgraduate,ST,No,No,Unemployed,5,0,0,0,0,1,1,0,0,0,1,1,0
36,Other,Bihar,Farmer,142381.0,Postgraduate,OBC,No,No,Farmer,2,1,0,0,0,1,1,0,0,0,1,1,0
74,Male,Punjab,Business Owner,398291.0,Below 10th,General,Yes,No,Employed,5,0,0,0,0,0,0,0,0,0,0,1,0
81,Other,West Bengal,Business Owner,1020971.0,Below 10th,ST,No,No,Employed,7,0,0,0,0,0,0,0,0,0,0,1,0
39,Other,Rajasthan,Unemployed,57377.0,Below 10th,General,No,Yes,Unemployed,5,0,0,1,0,1,1,0,0,0,1,1,0
8,Male,Gujarat,Government Job,1306279.0,Postgraduate,General,No,No,Employed,1,0,0,0,0,0,0,0,0,0,0,0,0
27,Female,Rajasthan,Government Job,1027422.0,12th Pass,OBC,No,No,Employed,8,0,0,0,0,1,1,0,0,0,0,1,0
16,Female,Tamil Nadu,Unemployed,43687.0,12th Pass,General,Yes,Yes,Unemployed,8,0,0,0,0,0,0,0,0,0,0,1,0
61,Other,Uttar Pradesh,Retired,308409.0,Graduate,General,No,No,Retired,5,0,0,0,0,1,0,0,0,0,0,1,0
60,Male,Uttar Pradesh,Retired,289796.0,Postgraduate,ST,No,No,Retired,1,0,0,0,0,1,0,0,0,0,0,1,0
29,Other,Tamil Nadu,Private Job,1145415.0,Graduate,General,Yes,No,Employed,5,0,0,0,0,1,1,0,0,0,0,1,0
75,Male,Karnataka,Unemployed,91521.0,Graduate,General,Yes,Yes,Unemployed,4,0,0,1,0,0,0,0,0,1,1,1,0
46,Female,Rajasthan,Farmer,309538.0,Below 10th,OBC,Yes,No,Farmer,8,0,0,0,0,1,0,0,0,0,0,1,0
20,Other,Punjab,Unemployed,93926.0,12th Pass,SC,No,Yes,Unemployed,8,0,0,1,0,1,1,0,0,0,1,1,0
11,Female,Rajasthan,Student,100554.0,Postgraduate,OBC,Yes,No,Student,5,0,0,0,0,0,0,0,0,0,0,1,0
58,Female,Rajasthan,Business Owner,105379.0,12th Pass,SC,No,No,Employed,3,0,0,0,0,1,0,1,1,0,1,1,0
62,Other,Bihar,Business Owner,797177.0,Postgraduate,ST,No,No,Employed,6,0,0,0,0,1,0,1,0,0,0,1,0
29,Other,Gujarat,Private Job,903148.0,10th Pass,ST,Yes,No,Employed,6,0,0,0,0,1,1,0,0,0,0,1,0
65,Other,Uttar Pradesh,Unemployed,86991.0,10th Pass,ST,Yes,No,Unemployed,6,0,0,0,0,1,0,0,0,0,1,1,0
17,Female,Delhi,Private Job,1058247.0,Below 10th,OBC,No,No,Employed,3,0,0,0,0,0,0,0,0,0,0,1,0
14,Female,Karnataka,Business Owner,1407069.0,Graduate,General,No,No,Employed,7,0,0,0,0,0,0,0,0,0,0,1,0
61,Other,Bihar,Retired,303648.0,Postgraduate,General,Yes,No,Retired,5,0,0,0,0,1,0,0,0,0,0,1,0
34,Other,Delhi,Unemployed,12903.0,Below 10th,ST,Yes,Yes,Unemployed,1,0,0,1,0,1,1,0,0,0,1,1,0
10,Female,Maharashtra,Business Owner,851752.0,12th Pass,ST,Yes,No,Employed,4,0,1,0,0,0,0,0,0,0,0,1,0
72,Female,West Bengal,Government Job,477606.0,10th Pass,OBC,Yes,No,Employed,7,0,0,0,0,0,0,0,0,0,0,1,0
84,Other,Gujarat,Unemployed,76435.0,10th Pass,OBC,No,Yes,Unemployed,8,0,0,1,0,0,0,0,0,1,1,1,0
69,Other,Maharashtra,Retired,263926.0,Postgraduate,OBC,Yes,No,Retired,8,0,0,0,0,1,0,0,0,0,0,1,0
49,Other,Karnataka,Government Job,989840.0,12th Pass,ST,No,No,Employed,4,0,0,0,0,1,0,0,0,0,0,1,0
23,Female,Delhi,Student,99972.0,12th Pass,SC,No,No,Student,7,0,0,0,1,1,1,0,0,0,1,1,0
84,Male,West Bengal,Retired,379556.0,Below 10th,ST,No,No,Retired,4,0,0,0,0,0,0,0,0,0,0,1,0
82,Female,Gujarat,Government Job,498735.0,Postgraduate,SC,Yes,No,Employed,2,0,0,0,0,0,0,0,0,0,0,1,0
85,Other,Maharashtra,Business Owner,1024473.0,Below 10th,SC,Yes,No,Employed,2,0,0,0,0,0,0,0,0,0,0,1,0
9,Female,Uttar Pradesh,Student,52637.0,Postgraduate,SC,No,Yes,Student,5,0,1,0,0,0,0,0,0,0,0,0,0
74,Female,Tamil Nadu,Retired,80382.0,Below 10th,OBC,Yes,Yes,Retired,7,0,0,1,0,0,0,0,0,1,1,1,0
60,Female,Delhi,Retired,226870.0,12th Pass,General,No,No,Retired,6,0,0,0,0,1,0,0,0,0,0,1,0
71,Other,Uttar Pradesh,Retired,354783.0,Below 10th,OBC,No,No,Retired,1,0,0,0,0,0,0,0,0,0,0,1,0
84,Other,Tamil Nadu,Private Job,564240.0,Below 10th,ST,No,No,Employed,7,0,0,0,0,0,0,0,0,0,0,1,0
51,Male,Maharashtra,Farmer,179574.0,Below 10th,General,Yes,No,Farmer,3,1,0,0,0,1,0,0,0,0,1,1,0
54,Female,Tamil Nadu,Government Job,1232865.0,Graduate,OBC,No,No,Employed,2,0,0,0,0,1,0,0,0,0,0,1,0
67,Other,Uttar Pradesh,Business Owner,168611.0,12th Pass,OBC,No,No,Employed,8,0,0,0,0,1,0,0,0,0,1,1,0
35,Female,Delhi,Government Job,870357.0,Postgraduate,SC,Yes,No,Employed,7,0,0,0,0,1,1,0,0,0,0,1,0
62,Male,Delhi,Retired,258402.0,10th Pass,General,Yes,No,Retired,6,0,0,0,0,1,0,0,0,0,0,1,0
22,Male,West Bengal,Student,17985.0,10th Pass,OBC,Yes,Yes,Student,3,0,0,1,1,1,1,0,0,0,1,1,0
64,Male,Karnataka,Retired,95858.0,Postgraduate,SC,Yes,No,Retired,1,0,0,0,0,1,0,0,0,0,1,1,0
78,Male,Tamil Nadu,Retired,144744.0,12th Pass,General,Yes,No,Retired,5,0,0,0,0,0,0,0,0,0,1,1,0
11,Male,Uttar Pradesh,Private Job,338339.0,Below 10th,ST,No,No,Employed,6,0,0,0,0,0,0,0,0,0,0,1,0
70,Other,Delhi,Unemployed,66039.0,10th Pass,General,No,Yes,Unemployed,1,0,0,1,0,1,0,0,0,1,1,1,0
12,Female,Uttar Pradesh,Unemployed,89928.0,Below 10th,ST,No,No,Unemployed,2,0,0,0,0,0,0,0,0,0,0,1,0
37,Other,Punjab,Farmer,86160.0,Postgraduate,SC,No,Yes,Farmer,5,1,0,1,0,1,1,0,0,0,1,1,0
63,Other,West Bengal,Unemployed,12999.0,Below 10th,OBC,No,Yes,Unemployed,4,0,0,1,0,1,0,0,0,1,1,1,0
57,Female,Bihar,Unemployed,54524.0,Below 10th,SC,No,Yes,Unemployed,5,0,0,1,0,1,0,0,0,0,1,1,0
25,Male,Bihar,Farmer,67828.0,Below 10th,ST,Yes,Yes,Farmer,6,1,0,1,0,1,1,0,0,0,1,1,0
21,Other,Maharashtra,Private Job,1277732.0,Postgraduate,SC,Yes,No,Employed,7,0,0,0,0,1,1,0,0,0,0,1,0
61,Other,Uttar Pradesh,Retired,398043.0,12th Pass,SC,No,No,Retired,2,0,0,0,0,1,0,0,0,0,0,1,0
12,Other,Gujarat,Student,126403.0,Below 10th,SC,No,No,Student,2,0,0,0,0,0,0,0,0,0,0,1,0
77,Other,Gujarat,Retired,244978.0,Postgraduate,General,No,No,Retired,1,0,0,0,0,0,0,0,0,0,0,1,0
28,Female,Karnataka,Business Owner,836149.0,Below 10th,OBC,Yes,No,Employed,7,0,0,0,0,1,1,1,1,0,0,1,0
33,Male,Maharashtra,Farmer,298125.0,Graduate,ST,No,No,Farmer,6,1,0,0,0,1,1,0,0,0,0,1,0
25,Female,Karnataka,Government Job,780280.0,Postgraduate,General,Yes,No,Employed,3,0,0,0,0,1,1,0,0,0,0,1,0
25,Other,Maharashtra,Government Job,271088.0,12th Pass,ST,No,No,Employed,8,0,0,0,0,1,1,0,0,0,0,1,0
82,Female,Uttar Pradesh,Business Owner,552080.0,Postgraduate,General,No,No,Employed,7,0,0,0,0,0,0,0,0,0,0,1,0
19,Female,West Bengal,Unemployed,69066.0,12th Pass,General,Yes,Yes,Unemployed,1,0,0,1,0,1,1,0,0,0,1,1,0
13,Male,Karnataka,Student,35975.0,12th Pass,SC,Yes,No,Student,7,0,0,0,0,0,0,0,0,0,0,1,0
27,Male,Uttar Pradesh,Private Job,582577.0,Postgraduate,SC,Yes,No,Employed,7,0,0,0,0,1,1,0,0,0,0,1,0
10,Female,Maharashtra,Unemployed,10205.0,12th Pass,ST,No,Yes,Unemployed,7,0,1,0,0,0,0,0,0,0,0,1,0
30,Male,Uttar Pradesh,Farmer,190272.0,Postgraduate,ST,No,No,Farmer,2,1,0,0,0,1,1,0,0,0,1,1,0
60,Male,Gujarat,Unemployed,77184.0,Graduate,General,No,Yes,Unemployed,6,0,0,1,0,1,0,0,0,1,1,1,0
60,Female,Punjab,Farmer,287640.0,Below 10th,OBC,No,No,Farmer,6,1,0,0,0,1,0,0,0,0,0,1,0
11,Male,Delhi,Student,67100.0,10th Pass,OBC,Yes,No,Student,8,0,0,0,0,0,0,0,0,0,0,1,0
64,Other,West Bengal,Unemployed,89277.0,Postgraduate,SC,No,No,Unemployed,2,0,0,0,0,1,0,0,0,0,1,1,0
78,Female,Karnataka,Retired,164008.0,Below 10th,SC,Yes,No,Retired,5,0,0,0,0,0,0,0,0,0,1,1,0
38,Female,Maharashtra,Farmer,213324.0,Below 10th,General,No,No,Farmer,8,1,0,0,0,1,1,0,0,0,0,1,0
79,Other,Maharashtra,Unemployed,74928.0,10th Pass,SC,No,Yes,Unemployed,1,0,0,1,0,0,0,0,0,1,1,1,0
62,Male,Tamil Nadu,Government Job,276851.0,Postgraduate,OBC,Yes,No,Employed,4,0,0,0,0,1,0,0,0,0,0,1,0
61,Female,Rajasthan,Private Job,1378854.0,10th Pass,SC,No,No,Employed,5,0,0,0,0,1,0,0,0,0,0,1,0
54,Female,Tamil Nadu,Government Job,1353857.0,Below 10th,SC,Yes,No,Employed,6,0,0,0,0,1,0,0,0,0,0,1,0
17,Other,Uttar Pradesh,Business Owner,628473.0,Postgraduate,OBC,No,No,Employed,2,0,0,0,0,0,0,0,0,0,0,1,0
79,Other,Punjab,Business Owner,750603.0,Graduate,OBC,Yes,No,Employed,5,0,0,0,0,0,0,0,0,0,0,1,0
81,Female,Tamil Nadu,Retired,87000.0,Postgraduate,General,No,Yes,Retired,1,0,0,1,0,0,0,0,0,1,1,1,0
20,Female,Punjab,Student,89583.0,10th Pass,OBC,Yes,No,Student,5,0,0,0,1,1,1,0,0,0,1,1,0
61,Other,Rajasthan,Retired,296054.0,12th Pass,OBC,No,No,Retired,3,0,0,0,0,1,0,0,0,0,0,1,0
83,Male,West Bengal,Retired,106790.0,Graduate,General,No,No,Retired,6,0,0,0,0,0,0,0,0,0,1,1,0
35,Female,West Bengal,Business Owner,1041470.0,10th Pass,OBC,No,No,Employed,8,0,0,0,0,1,1,1,1,0,0,1,0
29,Female,West Bengal,Unemployed,60513.0,12th Pass,ST,No,Yes,Unemployed,4,0,0,1,0,1,1,0,0,0,1,1,0
43,Male,Karnataka,Farmer,271967.0,Postgraduate,General,Yes,No,Farmer,5,1,0,0,0,1,0,0,0,0,0,1,0
15,Male,Karnataka,Unemployed,67286.0,10th Pass,ST,Yes,Yes,Unemployed,4,0,0,0,0,0,0,0,0,0,0,1,0
62,Female,Maharashtra,Unemployed,6980.0,Graduate,SC,Yes,Yes,Unemployed,2,0,0,1,0,1,0,0,0,1,1,1,1
52,Male,Maharashtra,Business Owner,307792.0,12th Pass,OBC,Yes,No,Employed,1,0,0,0,0,1,0,1,0,0,0,1,0
75,Female,Punjab,Retired,389904.0,Graduate,General,Yes,No,Retired,1,0,0,0,0,0,0,0,0,0,0,1,0
37,Male,Punjab,Private Job,1376914.0,Postgraduate,ST,Yes,No,Employed,5,0,0,0,0,1,1,0,0,0,0,1,0
46,Female,Delhi,Farmer,145010.0,Postgraduate,ST,Yes,No,Farmer,2,1,0,0,0,1,0,0,0,0,1,1,0
56,Other,Rajasthan,Farmer,290205.0,10th Pass,OBC,No,No,Farmer,7,1,0,0,0,1,0,0,0,0,0,1,0
18,Other,Tamil Nadu,Student,149596.0,10th Pass,General,No,No,Student,2,0,0,0,1,1,1,0,0,0,1,1,0
77,Other,Rajasthan,Retired,286140.0,Below 10th,ST,No,No,Retired,1,0,0,0,0,0,0,0,0,0,0,1,0
54,Female,Karnataka,Government Job,134062.0,12th Pass,General,No,No,Employed,4,0,0,0,0,1,0,0,0,0,1,1,0
85,Male,West Bengal,Government Job,797342.0,10th Pass,General,No,No,Employed,6,0,0,0,0,0,0,0,0,0,0,1,0
27,Other,Bihar,Government Job,1103552.0,10th Pass,OBC,Yes,No,Employed,8,0,0,0,0,1,1,0,0,0,0,1,0
22,Female,Gujarat,Farmer,124579.0,12th Pass,SC,No,No,Farmer,8,1,0,0,0,1,1,0,0,0,1,1,0
37,Male,Gujarat,Business Owner,848629.0,Below 10th,SC,No,No,Employed,2,0,0,0,0,1,1,1,0,0,0,1,0
52,Female,Uttar Pradesh,Government Job,1022194.0,Graduate,SC,Yes,No,Employed,8,0,0,0,0,1,0,0,0,0,0,1,0
68,Female,Rajasthan,Business Owner,273248.0,Graduate,General,No,No,Employed,3,0,0,0,0,1,0,0,1,0,0,1,0
40,Female,Tamil Nadu,Farmer,61979.0,12th Pass,SC,No,Yes,Farmer,7,1,0,1,0,1,1,0,0,0,1,1,0
26,Other,Bihar,Business Owner,1037698.0,Below 10th,SC,No,No,Employed,5,0,0,0,0,1,1,1,0,0,0,1,0
12,Male,Uttar Pradesh,Business Owner,1176019.0,10th Pass,General,Yes,No,Employed,8,0,0,0,0,0,0,0,0,0,0,1,0
16,Male,Delhi,Student,96030.0,Graduate,General,Yes,Yes,Student,6,0,0,0,1,0,0,0,0,0,0,1,0
52,Female,Delhi,Private Job,388767.0,Postgraduate,SC,No,No,Employed,6,0,0,0,0,1,0,0,0,0,0,1,0
51,Male,Delhi,Farmer,117542.0,Postgraduate,ST,Yes,No,Farmer,5,1,0,0,0,1,0,0,0,0,1,1,0
20,Other,Bihar,Student,74862.0,10th Pass,General,Yes,Yes,Student,8,0,0,1,1,1,1,0,0,0,1,1,0
62,Other,Bihar,Farmer,187556.0,12th Pass,General,No,No,Farmer,5,1,0,0,0,1,0,0,0,0,1,1,0
76,Other,Punjab,Retired,209526.0,10th Pass,General,Yes,No,Retired,3,0,0,0,0,0,0,0,0,0,0,1,0
35,Female,Maharashtra,Business Owner,1261867.0,Postgraduate,SC,No,No,Employed,3,0,0,0,0,1,1,1,1,0,0,1,0
83,Male,Delhi,Business Owner,935001.0,Graduate,ST,No,No,Employed,2,0,0,0,0,0,0,0,0,0,0,1,0
21,Female,Delhi,Unemployed,61057.0,Postgraduate,SC,Yes,Yes,Unemployed,3,0,0,1,0,1,1,0,0,0,1,1,0
63,Female,Rajasthan,Retired,49052.0,Postgraduate,OBC,No,No,Retired,6,0,0,0,0,1,0,0,0,0,1,1,0
33,Female,Rajasthan,Business Owner,265381.0,12th Pass,OBC,No,No,Employed,3,0,0,0,0,1,1,1,1,0,0,1,0
85,Female,West Bengal,Private Job,295933.0,Postgraduate,OBC,Yes,No,Employed,3,0,0,0,0,0,0,0,0,0,0,1,0
84,Other,West Bengal,Business Owner,1281992.0,Below 10th,General,Yes,No,Employed,1,0,0,0,0,0,0,0,0,0,0,1,0
73,Female,Gujarat,Retired,319964.0,Postgraduate,General,No,No,Retired,5,0,0,0,0,0,0,0,0,0,0,1,0
72,Female,Gujarat,Retired,379132.0,12th Pass,ST,Yes,No,Retired,1,0,0,0,0,0,0,0,0,0,0,1,0
25,Female,Uttar Pradesh,Unemployed,60875.0,10th Pass,SC,Yes,Yes,Unemployed,6,0,0,1,0,1,1,0,0,0,1,1,0
76,Female,Punjab,Retired,214269.0,Postgraduate,General,No,No,Retired,4,0,0,0,0,0,0,0,0,0,0,1,0
64,Male,Karnataka,Unemployed,32495.0,10th Pass,General,Yes,No,Unemployed,7,0,0,0,0,1,0,0,0,0,1,1,0
